ID,Description,Synthesis Time (s),#Paths,#Progs,#Tests,#Comps,#Holes
1,Compute the pseudo-inverse of a matrix,4.71, 256, 511,1, 3, 4
2,Compute the inner product between two vectors,.13, 1, 1,1, 3, 5
3,Determine the roots of a polynomial equation,.38, 7, 13,1, 3, 5
4,Compute the singular value decomposition of a matrix,.23, 1, 1,1, 3, 4
5,Invert a square matrix,.52, 16, 31,1, 3, 4
6,Solve a system of linear equations,, 194, 387,1,,
7,Compute the outer product between two vectors,2.78, 14, 48,1, 4, 6
8,Predict a value from a sample by linear regression,, 121, 247,2,,
9,Compute the ith eigenvalue of a matrix,, 199, 431,2,,
10,Scale a rectangle by a given ratio,.83, 78, 275,1, 4, 7
11,Shear a rectangle and get its tight rectangular bounds,1.12, 79, 282,1, 4, 7
12,Rotate a rectangle about the origin by the specified number of quadrants,.14, 9, 21,1, 4, 6
13,Rotate two dimensional geometry object by the specified angle about a point,1.46, 67, 225,2, 5, 8
14,Perform a translation on a given rectangle,.40, 41, 156,1, 4, 7
15,Compute the intersection of a rectangle and the rectangular bounds of an ellipse,.02, 1, 1,1, 3, 5
16,Compute number of days since the specified date,,,,2,,
17,Compute the number of days between two dates considering timezone,,,,3,,
18,Determine if a given year is a leap year,,,,3,,
19,Return the day of a date string,,,,2,,
20,Find the number of days of a month in a date string,,,,2,,
21,Find the day of the week of a date string,,,,2,,
22,Compute age given date of birth,,,,3,,
23,Compute the offset for a specified line in a document,.26, 3, 5,1, 3, 5
24,Get a paragraph element given its offset in the a document,.90, 33, 65,1, 4, 6
25,Obtain the title of a webpage specified by a URL,, 211, 421,1,,
26,Return doctype of XML document generated by string,.46, 6, 11,1, 6, 7
27,Generate an XML element from a string,.57, 26, 51,1, 6, 7
28,Read XML document from a file,.05, 1, 1,1, 3, 4
29,Generate an XML from file and query it using XPath,, 8, 15,1,,
30,Read XML document from a file and get the value of root attribute specified by a string,.18, 3, 5,1, 5, 7
